Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999819,
0.0002,1,0,-0.999638,
0.0003,1,0,-0.999457,
0.0004,1,0,-0.999276,
0.0005,1,0,-0.999095,
0.0006,1,0,-0.998914,
0.0007,1,0,-0.998733,
0.0008,1,0,-0.998552,
0.0009,1,0,-0.998371,
0.001,1,0,-0.99819,
0.0011,1,0,-0.998009,
0.0012,1,0,-0.997828,
0.0013,1,0,-0.997647,
0.0014,1,0,-0.997466,
0.0015,1,0,-0.997285,
0.0016,1,0,-0.997104,
0.0017,1,0,-0.996923,
0.0018,1,0,-0.996742,
0.0019,1,0,-0.996561,
0.002,1,0,-0.99638,
0.0021,1,0,-0.996199,
0.0022,1,0,-0.996018,
0.0023,1,0,-0.995837,
0.0024,1,0,-0.995656,
0.0025,1,0,-0.995475,
0.0026,1,0,-0.995294,
0.0027,1,0,-0.995113,
0.0028,1,0,-0.994932,
0.0029,1,0,-0.994751,
0.003,1,0,-0.99457,
0.0031,1,0,-0.994389,
0.0032,1,0,-0.994208,
0.0033,1,0,-0.994027,
0.0034,1,0,-0.993846,
0.0035,1,0,-0.993665,
0.0036,1,0,-0.993484,
0.0037,1,0,-0.993303,
0.0038,1,0,-0.993122,
0.0039,1,0,-0.992941,
0.004,1,0,-0.99276,
0.0041,1,0,-0.992579,
0.0042,1,0,-0.992398,
0.0043,1,0,-0.992217,
0.0044,1,0,-0.992036,
0.0045,1,0,-0.991855,
0.0046,1,0,-0.991674,
0.0047,1,0,-0.991493,
0.0048,1,0,-0.991312,
0.0049,1,0,-0.991131,
0.005,1,0,-0.99095,
0.0051,1,0,-0.990769,
0.0052,1,0,-0.990588,
0.0053,1,0,-0.990407,
0.0054,1,0,-0.990226,
0.0055,1,0,-0.990045,
0.0056,1,0,-0.989864,
0.0057,1,0,-0.989683,
0.0058,1,0,-0.989502,
0.0059,1,0,-0.989321,
0.006,1,0,-0.98914,
0.0061,1,0,-0.988959,
0.0062,1,0,-0.988778,
0.0063,1,0,-0.988597,
0.0064,1,0,-0.988416,
0.0065,1,0,-0.988235,
0.0066,1,0,-0.988054,
0.0067,1,0,-0.987873,
0.0068,1,0,-0.987692,
0.0069,1,0,-0.987511,
0.007,1,0,-0.98733,
