Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999873,
0.0002,1,0,-0.999746,
0.0003,1,0,-0.999619,
0.0004,1,0,-0.999492,
0.0005,1,0,-0.999365,
0.0006,1,0,-0.999238,
0.0007,1,0,-0.999111,
0.0008,1,0,-0.998984,
0.0009,1,0,-0.998857,
0.001,1,0,-0.99873,
0.0011,1,0,-0.998603,
0.0012,1,0,-0.998476,
0.0013,1,0,-0.998349,
0.0014,1,0,-0.998222,
0.0015,1,0,-0.998095,
0.0016,1,0,-0.997968,
0.0017,1,0,-0.997841,
0.0018,1,0,-0.997714,
0.0019,1,0,-0.997587,
0.002,1,0,-0.99746,
0.0021,1,0,-0.997333,
0.0022,1,0,-0.997206,
0.0023,1,0,-0.997079,
0.0024,1,0,-0.996952,
0.0025,1,0,-0.996825,
0.0026,1,0,-0.996698,
0.0027,1,0,-0.996571,
0.0028,1,0,-0.996444,
0.0029,1,0,-0.996317,
0.003,1,0,-0.99619,
0.0031,1,0,-0.996063,
0.0032,1,0,-0.995936,
0.0033,1,0,-0.995809,
0.0034,1,0,-0.995682,
0.0035,1,0,-0.995555,
0.0036,1,0,-0.995428,
0.0037,1,0,-0.995301,
0.0038,1,0,-0.995174,
0.0039,1,0,-0.995047,
0.004,1,0,-0.99492,
0.0041,1,0,-0.994793,
0.0042,1,0,-0.994666,
0.0043,1,0,-0.994539,
0.0044,1,0,-0.994412,
0.0045,1,0,-0.994285,
0.0046,1,0,-0.994158,
0.0047,1,0,-0.994031,
0.0048,1,0,-0.993904,
0.0049,1,0,-0.993777,
0.005,1,0,-0.99365,
0.0051,1,0,-0.993523,
0.0052,1,0,-0.993396,
0.0053,1,0,-0.993269,
0.0054,1,0,-0.993142,
0.0055,1,0,-0.993015,
0.0056,1,0,-0.992888,
0.0057,1,0,-0.992761,
0.0058,1,0,-0.992634,
0.0059,1,0,-0.992507,
0.006,1,0,-0.99238,
0.0061,1,0,-0.992253,
0.0062,1,0,-0.992126,
0.0063,1,0,-0.991999,
0.0064,1,0,-0.991872,
0.0065,1,0,-0.991745,
0.0066,1,0,-0.991618,
0.0067,1,0,-0.991491,
0.0068,1,0,-0.991364,
0.0069,1,0,-0.991237,
0.007,1,0,-0.99111,
0.0071,1,0,-0.990983,
0.0072,1,0,-0.990856,
0.0073,1,0,-0.990729,
0.0074,1,0,-0.990602,
0.0075,1,0,-0.990475,
0.0076,1,0,-0.990348,
0.0077,1,0,-0.990221,
0.0078,1,0,-0.990094,
0.0079,1,0,-0.989967,
0.008,1,0,-0.98984,
0.0081,1,0,-0.989713,
0.0082,1,0,-0.989586,
0.0083,1,0,-0.989459,
0.0084,1,0,-0.989332,
0.0085,1,0,-0.989205,
0.0086,1,0,-0.989078,
0.0087,1,0,-0.988951,
0.0088,1,0,-0.988824,
0.0089,1,0,-0.988697,
0.009,1,0,-0.98857,
0.0091,1,0,-0.988443,
0.0092,1,0,-0.988316,
0.0093,1,0,-0.988189,
0.0094,1,0,-0.988062,
0.0095,1,0,-0.987935,
0.0096,1,0,-0.987808,
0.0097,1,0,-0.987681,
0.0098,1,0,-0.987554,
0.0099,1,0,-0.987427,
0.01,1,0,-0.9873,
0.0101,1,0,-0.987173,
0.0102,1,0,-0.987046,
0.0103,1,0,-0.986919,
0.0104,1,0,-0.986792,
0.0105,1,0,-0.986665,
0.0106,1,0,-0.986538,
0.0107,1,0,-0.986411,
0.0108,1,0,-0.986284,
0.0109,1,0,-0.986157,
0.011,1,0,-0.98603,
0.0111,1,0,-0.985903,
0.0112,1,0,-0.985776,
0.0113,1,0,-0.985649,
0.0114,1,0,-0.985522,
0.0115,1,0,-0.985395,
0.0116,1,0,-0.985268,
0.0117,1,0,-0.985141,
0.0118,1,0,-0.985014,
0.0119,1,0,-0.984887,
0.012,1,0,-0.98476,
0.0121,1,0,-0.984633,
0.0122,1,0,-0.984506,
0.0123,1,0,-0.984379,
0.0124,1,0,-0.984252,
0.0125,1,0,-0.984125,
0.0126,1,0,-0.983998,
0.0127,1,0,-0.983871,
0.0128,1,0,-0.983744,
0.0129,1,0,-0.983617,
0.013,1,0,-0.98349,
0.0131,1,0,-0.983363,
0.0132,1,0,-0.983236,
0.0133,1,0,-0.983109,
0.0134,1,0,-0.982982,
0.0135,1,0,-0.982855,
0.0136,1,0,-0.982728,
0.0137,1,0,-0.982601,
0.0138,1,0,-0.982474,
0.0139,1,0,-0.982347,
0.014,1,0,-0.98222,
0.0141,1,0,-0.982093,
0.0142,1,0,-0.981966,
0.0143,1,0,-0.981839,
0.0144,1,0,-0.981712,
0.0145,1,0,-0.981585,
0.0146,1,0,-0.981458,
0.0147,1,0,-0.981331,
0.0148,1,0,-0.981204,
0.0149,1,0,-0.981077,
0.015,1,0,-0.98095,
0.0151,1,0,-0.980823,
0.0152,1,0,-0.980696,
0.0153,1,0,-0.980569,
0.0154,1,0,-0.980442,
0.0155,1,0,-0.980315,
0.0156,1,0,-0.980188,
0.0157,1,0,-0.980061,
0.0158,1,0,-0.979934,
0.0159,1,0,-0.979807,
0.016,1,0,-0.97968,
0.0161,1,0,-0.979553,
0.0162,1,0,-0.979426,
0.0163,1,0,-0.979299,
0.0164,1,0,-0.979172,
