Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999882,
0.0002,1,0,-0.999764,
0.0003,1,0,-0.999646,
0.0004,1,0,-0.999528,
0.0005,1,0,-0.99941,
0.0006,1,0,-0.999292,
0.0007,1,0,-0.999174,
0.0008,1,0,-0.999056,
0.0009,1,0,-0.998938,
0.001,1,0,-0.99882,
0.0011,1,0,-0.998702,
0.0012,1,0,-0.998584,
0.0013,1,0,-0.998466,
0.0014,1,0,-0.998348,
0.0015,1,0,-0.99823,
0.0016,1,0,-0.998112,
0.0017,1,0,-0.997994,
0.0018,1,0,-0.997876,
0.0019,1,0,-0.997758,
0.002,1,0,-0.99764,
0.0021,1,0,-0.997522,
0.0022,1,0,-0.997404,
0.0023,1,0,-0.997286,
0.0024,1,0,-0.997168,
0.0025,1,0,-0.99705,
0.0026,1,0,-0.996932,
0.0027,1,0,-0.996814,
0.0028,1,0,-0.996696,
0.0029,1,0,-0.996578,
0.003,1,0,-0.99646,
0.0031,1,0,-0.996342,
0.0032,1,0,-0.996224,
0.0033,1,0,-0.996106,
0.0034,1,0,-0.995988,
0.0035,1,0,-0.99587,
0.0036,1,0,-0.995752,
0.0037,1,0,-0.995634,
0.0038,1,0,-0.995516,
0.0039,1,0,-0.995398,
0.004,1,0,-0.99528,
0.0041,1,0,-0.995162,
0.0042,1,0,-0.995044,
0.0043,1,0,-0.994926,
0.0044,1,0,-0.994808,
0.0045,1,0,-0.99469,
0.0046,1,0,-0.994572,
0.0047,1,0,-0.994454,
0.0048,1,0,-0.994336,
0.0049,1,0,-0.994218,
0.005,1,0,-0.9941,
0.0051,1,0,-0.993982,
0.0052,1,0,-0.993864,
0.0053,1,0,-0.993746,
0.0054,1,0,-0.993628,
0.0055,1,0,-0.99351,
0.0056,1,0,-0.993392,
0.0057,1,0,-0.993274,
0.0058,1,0,-0.993156,
0.0059,1,0,-0.993038,
0.006,1,0,-0.99292,
0.0061,1,0,-0.992802,
0.0062,1,0,-0.992684,
0.0063,1,0,-0.992566,
0.0064,1,0,-0.992448,
0.0065,1,0,-0.99233,
0.0066,1,0,-0.992212,
0.0067,1,0,-0.992094,
0.0068,1,0,-0.991976,
0.0069,1,0,-0.991858,
0.007,1,0,-0.99174,
0.0071,1,0,-0.991622,
0.0072,1,0,-0.991504,
0.0073,1,0,-0.991386,
0.0074,1,0,-0.991268,
0.0075,1,0,-0.99115,
0.0076,1,0,-0.991032,
0.0077,1,0,-0.990914,
0.0078,1,0,-0.990796,
0.0079,1,0,-0.990678,
0.008,1,0,-0.99056,
0.0081,1,0,-0.990442,
0.0082,1,0,-0.990324,
0.0083,1,0,-0.990206,
0.0084,1,0,-0.990088,
0.0085,1,0,-0.98997,
0.0086,1,0,-0.989852,
0.0087,1,0,-0.989734,
0.0088,1,0,-0.989616,
0.0089,1,0,-0.989498,
0.009,1,0,-0.98938,
0.0091,1,0,-0.989262,
0.0092,1,0,-0.989144,
0.0093,1,0,-0.989026,
0.0094,1,0,-0.988908,
0.0095,1,0,-0.98879,
