Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999891,
0.0002,1,0,-0.999782,
0.0003,1,0,-0.999673,
0.0004,1,0,-0.999564,
0.0005,1,0,-0.999455,
0.0006,1,0,-0.999346,
0.0007,1,0,-0.999237,
0.0008,1,0,-0.999128,
0.0009,1,0,-0.999019,
0.001,1,0,-0.99891,
0.0011,1,0,-0.998801,
0.0012,1,0,-0.998692,
0.0013,1,0,-0.998583,
0.0014,1,0,-0.998474,
0.0015,1,0,-0.998365,
0.0016,1,0,-0.998256,
0.0017,1,0,-0.998147,
0.0018,1,0,-0.998038,
0.0019,1,0,-0.997929,
0.002,1,0,-0.99782,
0.0021,1,0,-0.997711,
0.0022,1,0,-0.997602,
0.0023,1,0,-0.997493,
0.0024,1,0,-0.997384,
0.0025,1,0,-0.997275,
0.0026,1,0,-0.997166,
0.0027,1,0,-0.997057,
0.0028,1,0,-0.996948,
0.0029,1,0,-0.996839,
0.003,1,0,-0.99673,
0.0031,1,0,-0.996621,
0.0032,1,0,-0.996512,
0.0033,1,0,-0.996403,
0.0034,1,0,-0.996294,
0.0035,1,0,-0.996185,
0.0036,1,0,-0.996076,
0.0037,1,0,-0.995967,
0.0038,1,0,-0.995858,
0.0039,1,0,-0.995749,
0.004,1,0,-0.99564,
0.0041,1,0,-0.995531,
0.0042,1,0,-0.995422,
0.0043,1,0,-0.995313,
0.0044,1,0,-0.995204,
0.0045,1,0,-0.995095,
0.0046,1,0,-0.994986,
0.0047,1,0,-0.994877,
0.0048,1,0,-0.994768,
0.0049,1,0,-0.994659,
0.005,1,0,-0.99455,
0.0051,1,0,-0.994441,
0.0052,1,0,-0.994332,
0.0053,1,0,-0.994223,
0.0054,1,0,-0.994114,
0.0055,1,0,-0.994005,
0.0056,1,0,-0.993896,
0.0057,1,0,-0.993787,
0.0058,1,0,-0.993678,
0.0059,1,0,-0.993569,
0.006,1,0,-0.99346,
0.0061,1,0,-0.993351,
0.0062,1,0,-0.993242,
0.0063,1,0,-0.993133,
0.0064,1,0,-0.993024,
0.0065,1,0,-0.992915,
0.0066,1,0,-0.992806,
0.0067,1,0,-0.992697,
0.0068,1,0,-0.992588,
0.0069,1,0,-0.992479,
0.007,1,0,-0.99237,
0.0071,1,0,-0.992261,
0.0072,1,0,-0.992152,
0.0073,1,0,-0.992043,
0.0074,1,0,-0.991934,
0.0075,1,0,-0.991825,
0.0076,1,0,-0.991716,
0.0077,1,0,-0.991607,
0.0078,1,0,-0.991498,
0.0079,1,0,-0.991389,
0.008,1,0,-0.99128,
0.0081,1,0,-0.991171,
0.0082,1,0,-0.991062,
0.0083,1,0,-0.990953,
0.0084,1,0,-0.990844,
0.0085,1,0,-0.990735,
0.0086,1,0,-0.990626,
0.0087,1,0,-0.990517,
0.0088,1,0,-0.990408,
0.0089,1,0,-0.990299,
0.009,1,0,-0.99019,
0.0091,1,0,-0.990081,
0.0092,1,0,-0.989972,
0.0093,1,0,-0.989863,
0.0094,1,0,-0.989754,
0.0095,1,0,-0.989645,
0.0096,1,0,-0.989536,
0.0097,1,0,-0.989427,
0.0098,1,0,-0.989318,
0.0099,1,0,-0.989209,
0.01,1,0,-0.9891,
0.0101,1,0,-0.988991,
0.0102,1,0,-0.988882,
0.0103,1,0,-0.988773,
0.0104,1,0,-0.988664,
0.0105,1,0,-0.988555,
0.0106,1,0,-0.988446,
0.0107,1,0,-0.988337,
0.0108,1,0,-0.988228,
0.0109,1,0,-0.988119,
0.011,1,0,-0.98801,
0.0111,1,0,-0.987901,
0.0112,1,0,-0.987792,
0.0113,1,0,-0.987683,
0.0114,1,0,-0.987574,
0.0115,1,0,-0.987465,
0.0116,1,0,-0.987356,
0.0117,1,0,-0.987247,
0.0118,1,0,-0.987138,
0.0119,1,0,-0.987029,
0.012,1,0,-0.98692,
0.0121,1,0,-0.986811,
0.0122,1,0,-0.986702,
0.0123,1,0,-0.986593,
0.0124,1,0,-0.986484,
0.0125,1,0,-0.986375,
0.0126,1,0,-0.986266,
0.0127,1,0,-0.986157,
0.0128,1,0,-0.986048,
0.0129,1,0,-0.985939,
0.013,1,0,-0.98583,
0.0131,1,0,-0.985721,
0.0132,1,0,-0.985612,
0.0133,1,0,-0.985503,
0.0134,1,0,-0.985394,
0.0135,1,0,-0.985285,
0.0136,1,0,-0.985176,
0.0137,1,0,-0.985067,
0.0138,1,0,-0.984958,
0.0139,1,0,-0.984849,
