Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999837,
0.0002,1,0,-0.999674,
0.0003,1,0,-0.999511,
0.0004,1,0,-0.999348,
0.0005,1,0,-0.999185,
0.0006,1,0,-0.999022,
0.0007,1,0,-0.998859,
0.0008,1,0,-0.998696,
0.0009,1,0,-0.998533,
0.001,1,0,-0.99837,
0.0011,1,0,-0.998207,
0.0012,1,0,-0.998044,
0.0013,1,0,-0.997881,
0.0014,1,0,-0.997718,
0.0015,1,0,-0.997555,
0.0016,1,0,-0.997392,
0.0017,1,0,-0.997229,
0.0018,1,0,-0.997066,
0.0019,1,0,-0.996903,
0.002,1,0,-0.99674,
0.0021,1,0,-0.996577,
0.0022,1,0,-0.996414,
0.0023,1,0,-0.996251,
0.0024,1,0,-0.996088,
0.0025,1,0,-0.995925,
0.0026,1,0,-0.995762,
0.0027,1,0,-0.995599,
0.0028,1,0,-0.995436,
0.0029,1,0,-0.995273,
0.003,1,0,-0.99511,
0.0031,1,0,-0.994947,
0.0032,1,0,-0.994784,
0.0033,1,0,-0.994621,
0.0034,1,0,-0.994458,
0.0035,1,0,-0.994295,
0.0036,1,0,-0.994132,
0.0037,1,0,-0.993969,
0.0038,1,0,-0.993806,
0.0039,1,0,-0.993643,
0.004,1,0,-0.99348,
0.0041,1,0,-0.993317,
0.0042,1,0,-0.993154,
0.0043,1,0,-0.992991,
0.0044,1,0,-0.992828,
0.0045,1,0,-0.992665,
0.0046,1,0,-0.992502,
0.0047,1,0,-0.992339,
0.0048,1,0,-0.992176,
0.0049,1,0,-0.992013,
0.005,1,0,-0.99185,
0.0051,1,0,-0.991687,
0.0052,1,0,-0.991524,
0.0053,1,0,-0.991361,
0.0054,1,0,-0.991198,
0.0055,1,0,-0.991035,
0.0056,1,0,-0.990872,
0.0057,1,0,-0.990709,
0.0058,1,0,-0.990546,
0.0059,1,0,-0.990383,
0.006,1,0,-0.99022,
0.0061,1,0,-0.990057,
0.0062,1,0,-0.989894,
0.0063,1,0,-0.989731,
0.0064,1,0,-0.989568,
0.0065,1,0,-0.989405,
0.0066,1,0,-0.989242,
0.0067,1,0,-0.989079,
0.0068,1,0,-0.988916,
0.0069,1,0,-0.988753,
0.007,1,0,-0.98859,
0.0071,1,0,-0.988427,
0.0072,1,0,-0.988264,
0.0073,1,0,-0.988101,
0.0074,1,0,-0.987938,
0.0075,1,0,-0.987775,
0.0076,1,0,-0.987612,
0.0077,1,0,-0.987449,
0.0078,1,0,-0.987286,
0.0079,1,0,-0.987123,
0.008,1,0,-0.98696,
0.0081,1,0,-0.986797,
0.0082,1,0,-0.986634,
0.0083,1,0,-0.986471,
0.0084,1,0,-0.986308,
0.0085,1,0,-0.986145,
0.0086,1,0,-0.985982,
0.0087,1,0,-0.985819,
0.0088,1,0,-0.985656,
0.0089,1,0,-0.985493,
0.009,1,0,-0.98533,
0.0091,1,0,-0.985167,
0.0092,1,0,-0.985004,
0.0093,1,0,-0.984841,
0.0094,1,0,-0.984678,
0.0095,1,0,-0.984515,
0.0096,1,0,-0.984352,
0.0097,1,0,-0.984189,
0.0098,1,0,-0.984026,
0.0099,1,0,-0.983863,
0.01,1,0,-0.9837,
0.0101,1,0,-0.983537,
0.0102,1,0,-0.983374,
0.0103,1,0,-0.983211,
0.0104,1,0,-0.983048,
0.0105,1,0,-0.982885,
0.0106,1,0,-0.982722,
0.0107,1,0,-0.982559,
0.0108,1,0,-0.982396,
0.0109,1,0,-0.982233,
0.011,1,0,-0.98207,
