Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999846,
0.0002,1,0,-0.999692,
0.0003,1,0,-0.999538,
0.0004,1,0,-0.999384,
0.0005,1,0,-0.99923,
0.0006,1,0,-0.999076,
0.0007,1,0,-0.998922,
0.0008,1,0,-0.998768,
0.0009,1,0,-0.998614,
0.001,1,0,-0.99846,
0.0011,1,0,-0.998306,
0.0012,1,0,-0.998152,
0.0013,1,0,-0.997998,
0.0014,1,0,-0.997844,
0.0015,1,0,-0.99769,
0.0016,1,0,-0.997536,
0.0017,1,0,-0.997382,
0.0018,1,0,-0.997228,
0.0019,1,0,-0.997074,
0.002,1,0,-0.99692,
0.0021,1,0,-0.996766,
0.0022,1,0,-0.996612,
0.0023,1,0,-0.996458,
0.0024,1,0,-0.996304,
0.0025,1,0,-0.99615,
0.0026,1,0,-0.995996,
0.0027,1,0,-0.995842,
0.0028,1,0,-0.995688,
0.0029,1,0,-0.995534,
0.003,1,0,-0.99538,
0.0031,1,0,-0.995226,
0.0032,1,0,-0.995072,
0.0033,1,0,-0.994918,
0.0034,1,0,-0.994764,
0.0035,1,0,-0.99461,
0.0036,1,0,-0.994456,
0.0037,1,0,-0.994302,
0.0038,1,0,-0.994148,
0.0039,1,0,-0.993994,
0.004,1,0,-0.99384,
0.0041,1,0,-0.993686,
0.0042,1,0,-0.993532,
0.0043,1,0,-0.993378,
0.0044,1,0,-0.993224,
0.0045,1,0,-0.99307,
0.0046,1,0,-0.992916,
0.0047,1,0,-0.992762,
0.0048,1,0,-0.992608,
0.0049,1,0,-0.992454,
0.005,1,0,-0.9923,
0.0051,1,0,-0.992146,
0.0052,1,0,-0.991992,
0.0053,1,0,-0.991838,
0.0054,1,0,-0.991684,
0.0055,1,0,-0.99153,
0.0056,1,0,-0.991376,
0.0057,1,0,-0.991222,
0.0058,1,0,-0.991068,
0.0059,1,0,-0.990914,
0.006,1,0,-0.99076,
0.0061,1,0,-0.990606,
0.0062,1,0,-0.990452,
0.0063,1,0,-0.990298,
0.0064,1,0,-0.990144,
0.0065,1,0,-0.98999,
0.0066,1,0,-0.989836,
0.0067,1,0,-0.989682,
0.0068,1,0,-0.989528,
0.0069,1,0,-0.989374,
0.007,1,0,-0.98922,
0.0071,1,0,-0.989066,
0.0072,1,0,-0.988912,
0.0073,1,0,-0.988758,
0.0074,1,0,-0.988604,
0.0075,1,0,-0.98845,
0.0076,1,0,-0.988296,
0.0077,1,0,-0.988142,
0.0078,1,0,-0.987988,
0.0079,1,0,-0.987834,
0.008,1,0,-0.98768,
0.0081,1,0,-0.987526,
0.0082,1,0,-0.987372,
0.0083,1,0,-0.987218,
0.0084,1,0,-0.987064,
0.0085,1,0,-0.98691,
0.0086,1,0,-0.986756,
0.0087,1,0,-0.986602,
0.0088,1,0,-0.986448,
0.0089,1,0,-0.986294,
0.009,1,0,-0.98614,
0.0091,1,0,-0.985986,
0.0092,1,0,-0.985832,
0.0093,1,0,-0.985678,
0.0094,1,0,-0.985524,
0.0095,1,0,-0.98537,
0.0096,1,0,-0.985216,
0.0097,1,0,-0.985062,
0.0098,1,0,-0.984908,
0.0099,1,0,-0.984754,
0.01,1,0,-0.9846,
0.0101,1,0,-0.984446,
0.0102,1,0,-0.984292,
0.0103,1,0,-0.984138,
0.0104,1,0,-0.983984,
0.0105,1,0,-0.98383,
0.0106,1,0,-0.983676,
0.0107,1,0,-0.983522,
0.0108,1,0,-0.983368,
0.0109,1,0,-0.983214,
0.011,1,0,-0.98306,
0.0111,1,0,-0.982906,
0.0112,1,0,-0.982752,
0.0113,1,0,-0.982598,
0.0114,1,0,-0.982444,
0.0115,1,0,-0.98229,
0.0116,1,0,-0.982136,
0.0117,1,0,-0.981982,
0.0118,1,0,-0.981828,
0.0119,1,0,-0.981674,
0.012,1,0,-0.98152,
0.0121,1,0,-0.981366,
0.0122,1,0,-0.981212,
0.0123,1,0,-0.981058,
0.0124,1,0,-0.980904,
0.0125,1,0,-0.98075,
0.0126,1,0,-0.980596,
0.0127,1,0,-0.980442,
0.0128,1,0,-0.980288,
0.0129,1,0,-0.980134,
0.013,1,0,-0.97998,
0.0131,1,0,-0.979826,
0.0132,1,0,-0.979672,
0.0133,1,0,-0.979518,
0.0134,1,0,-0.979364,
0.0135,1,0,-0.97921,
0.0136,1,0,-0.979056,
0.0137,1,0,-0.978902,
0.0138,1,0,-0.978748,
0.0139,1,0,-0.978594,
0.014,1,0,-0.97844,
0.0141,1,0,-0.978286,
0.0142,1,0,-0.978132,
0.0143,1,0,-0.977978,
0.0144,1,0,-0.977824,
0.0145,1,0,-0.97767,
0.0146,1,0,-0.977516,
0.0147,1,0,-0.977362,
0.0148,1,0,-0.977208,
0.0149,1,0,-0.977054,
0.015,1,0,-0.9769,
0.0151,1,0,-0.976746,
0.0152,1,0,-0.976592,
0.0153,1,0,-0.976438,
0.0154,1,0,-0.976284,
0.0155,1,0,-0.97613,
0.0156,1,0,-0.975976,
0.0157,1,0,-0.975822,
0.0158,1,0,-0.975668,
0.0159,1,0,-0.975514,
0.016,1,0,-0.97536,
0.0161,1,0,-0.975206,
0.0162,1,0,-0.975052,
0.0163,1,0,-0.974898,
0.0164,1,0,-0.974744,
0.0165,1,0,-0.97459,
0.0166,1,0,-0.974436,
0.0167,1,0,-0.974282,
0.0168,1,0,-0.974128,
0.0169,1,0,-0.973974,
0.017,1,0,-0.97382,
0.0171,1,0,-0.973666,
0.0172,1,0,-0.973512,
0.0173,1,0,-0.973358,
0.0174,1,0,-0.973204,
0.0175,1,0,-0.97305,
0.0176,1,0,-0.972896,
0.0177,1,0,-0.972742,
0.0178,1,0,-0.972588,
0.0179,1,0,-0.972434,
0.018,1,0,-0.97228,
0.0181,1,0,-0.972126,
0.0182,1,0,-0.971972,
0.0183,1,0,-0.971818,
0.0184,1,0,-0.971664,
0.0185,1,0,-0.97151,
0.0186,1,0,-0.971356,
0.0187,1,0,-0.971202,
0.0188,1,0,-0.971048,
0.0189,1,0,-0.970894,
0.019,1,0,-0.97074,
0.0191,1,0,-0.970586,
0.0192,1,0,-0.970432,
0.0193,1,0,-0.970278,
0.0194,1,0,-0.970124,
0.0195,1,0,-0.96997,
0.0196,1,0,-0.969816,
0.0197,1,0,-0.969662,
0.0198,1,0,-0.969508,
0.0199,1,0,-0.969354,
0.02,1,0,-0.9692,
0.0201,1,0,-0.969046,
0.0202,1,0,-0.968892,
0.0203,1,0,-0.968738,
0.0204,1,0,-0.968584,
0.0205,1,0,-0.96843,
0.0206,1,0,-0.968276,
0.0207,1,0,-0.968122,
0.0208,1,0,-0.967968,
0.0209,1,0,-0.967814,
0.021,1,0,-0.96766,
0.0211,1,0,-0.967506,
0.0212,1,0,-0.967352,
0.0213,1,0,-0.967198,
0.0214,1,0,-0.967044,
0.0215,1,0,-0.96689,
0.0216,1,0,-0.966736,
0.0217,1,0,-0.966582,
0.0218,1,0,-0.966428,
0.0219,1,0,-0.966274,
0.022,1,0,-0.96612,
0.0221,1,0,-0.965966,
0.0222,1,0,-0.965812,
0.0223,1,0,-0.965658,
0.0224,1,0,-0.965504,
0.0225,1,0,-0.96535,
0.0226,1,0,-0.965196,
0.0227,1,0,-0.965042,
0.0228,1,0,-0.964888,
0.0229,1,0,-0.964734,
0.023,1,0,-0.96458,
0.0231,1,0,-0.964426,
0.0232,1,0,-0.964272,
0.0233,1,0,-0.964118,
0.0234,1,0,-0.963964,
0.0235,1,0,-0.96381,
0.0236,1,0,-0.963656,
0.0237,1,0,-0.963502,
0.0238,1,0,-0.963348,
0.0239,1,0,-0.963194,
0.024,1,0,-0.96304,
0.0241,1,0,-0.962886,
0.0242,1,0,-0.962732,
0.0243,1,0,-0.962578,
0.0244,1,0,-0.962424,
0.0245,1,0,-0.96227,
0.0246,1,0,-0.962116,
0.0247,1,0,-0.961962,
0.0248,1,0,-0.961808,
0.0249,1,0,-0.961654,
0.025,1,0,-0.9615,
0.0251,1,0,-0.961346,
0.0252,1,0,-0.961192,
0.0253,1,0,-0.961038,
0.0254,1,0,-0.960884,
0.0255,1,0,-0.96073,
0.0256,1,0,-0.960576,
0.0257,1,0,-0.960422,
0.0258,1,0,-0.960268,
0.0259,1,0,-0.960114,
0.026,1,0,-0.95996,
0.0261,1,0,-0.959806,
0.0262,1,0,-0.959652,
0.0263,1,0,-0.959498,
0.0264,1,0,-0.959344,
0.0265,1,0,-0.95919,
0.0266,1,0,-0.959036,
0.0267,1,0,-0.958882,
0.0268,1,0,-0.958728,
0.0269,1,0,-0.958574,
0.027,1,0,-0.95842,
0.0271,1,0,-0.958266,
0.0272,1,0,-0.958112,
0.0273,1,0,-0.957958,
0.0274,1,0,-0.957804,
0.0275,1,0,-0.95765,
0.0276,1,0,-0.957496,
0.0277,1,0,-0.957342,
0.0278,1,0,-0.957188,
0.0279,1,0,-0.957034,
0.028,1,0,-0.95688,
0.0281,1,0,-0.956726,
0.0282,1,0,-0.956572,
0.0283,1,0,-0.956418,
0.0284,1,0,-0.956264,
0.0285,1,0,-0.95611,
0.0286,1,0,-0.955956,
0.0287,1,0,-0.955802,
0.0288,1,0,-0.955648,
0.0289,1,0,-0.955494,
0.029,1,0,-0.95534,
0.0291,1,0,-0.955186,
0.0292,1,0,-0.955032,
0.0293,1,0,-0.954878,
0.0294,1,0,-0.954724,
0.0295,1,0,-0.95457,
0.0296,1,0,-0.954416,
0.0297,1,0,-0.954262,
0.0298,1,0,-0.954108,
0.0299,1,0,-0.953954,
0.03,1,0,-0.9538,
0.0301,1,0,-0.953646,
0.0302,1,0,-0.953492,
0.0303,1,0,-0.953338,
0.0304,1,0,-0.953184,
0.0305,1,0,-0.95303,
0.0306,1,0,-0.952876,
0.0307,1,0,-0.952722,
0.0308,1,0,-0.952568,
0.0309,1,0,-0.952414,
0.031,1,0,-0.95226,
0.0311,1,0,-0.952106,
0.0312,1,0,-0.951952,
0.0313,1,0,-0.951798,
0.0314,1,0,-0.951644,
0.0315,1,0,-0.95149,
0.0316,1,0,-0.951336,
0.0317,1,0,-0.951182,
0.0318,1,0,-0.951028,
0.0319,1,0,-0.950874,
0.032,1,0,-0.95072,
0.0321,1,0,-0.950566,
0.0322,1,0,-0.950412,
0.0323,1,0,-0.950258,
0.0324,1,0,-0.950104,
0.0325,1,0,-0.94995,
0.0326,1,0,-0.949796,
0.0327,1,0,-0.949642,
0.0328,1,0,-0.949488,
0.0329,1,0,-0.949334,
0.033,1,0,-0.94918,
0.0331,1,0,-0.949026,
0.0332,1,0,-0.948872,
0.0333,1,0,-0.948718,
0.0334,1,0,-0.948564,
0.0335,1,0,-0.94841,
0.0336,1,0,-0.948256,
0.0337,1,0,-0.948102,
0.0338,1,0,-0.947948,
0.0339,1,0,-0.947794,
0.034,1,0,-0.94764,
0.0341,1,0,-0.947486,
0.0342,1,0,-0.947332,
0.0343,1,0,-0.947178,
0.0344,1,0,-0.947024,
0.0345,1,0,-0.94687,
0.0346,1,0,-0.946716,
0.0347,1,0,-0.946562,
0.0348,1,0,-0.946408,
0.0349,1,0,-0.946254,
0.035,1,0,-0.9461,
0.0351,1,0,-0.945946,
0.0352,1,0,-0.945792,
0.0353,1,0,-0.945638,
0.0354,1,0,-0.945484,
0.0355,1,0,-0.94533,
0.0356,1,0,-0.945176,
0.0357,1,0,-0.945022,
0.0358,1,0,-0.944868,
0.0359,1,0,-0.944714,
0.036,1,0,-0.94456,
0.0361,1,0,-0.944406,
0.0362,1,0,-0.944252,
0.0363,1,0,-0.944098,
0.0364,1,0,-0.943944,
0.0365,1,0,-0.94379,
0.0366,1,0,-0.943636,
0.0367,1,0,-0.943482,
0.0368,1,0,-0.943328,
0.0369,1,0,-0.943174,
0.037,1,0,-0.94302,
0.0371,1,0,-0.942866,
0.0372,1,0,-0.942712,
0.0373,1,0,-0.942558,
0.0374,1,0,-0.942404,
0.0375,1,0,-0.94225,
0.0376,1,0,-0.942096,
0.0377,1,0,-0.941942,
0.0378,1,0,-0.941788,
0.0379,1,0,-0.941634,
0.038,1,0,-0.94148,
0.0381,1,0,-0.941326,
0.0382,1,0,-0.941172,
0.0383,1,0,-0.941018,
0.0384,1,0,-0.940864,
0.0385,1,0,-0.94071,
0.0386,1,0,-0.940556,
0.0387,1,0,-0.940402,
0.0388,1,0,-0.940248,
0.0389,1,0,-0.940094,
0.039,1,0,-0.93994,
0.0391,1,0,-0.939786,
0.0392,1,0,-0.939632,
0.0393,1,0,-0.939478,
0.0394,1,0,-0.939324,
0.0395,1,0,-0.93917,
0.0396,1,0,-0.939016,
0.0397,1,0,-0.938862,
0.0398,1,0,-0.938708,
0.0399,1,0,-0.938554,
0.04,1,0,-0.9384,
0.0401,1,0,-0.938246,
0.0402,1,0,-0.938092,
0.0403,1,0,-0.937938,
0.0404,1,0,-0.937784,
0.0405,1,0,-0.93763,
0.0406,1,0,-0.937476,
0.0407,1,0,-0.937322,
0.0408,1,0,-0.937168,
0.0409,1,0,-0.937014,
0.041,1,0,-0.93686,
0.0411,1,0,-0.936706,
0.0412,1,0,-0.936552,
0.0413,1,0,-0.936398,
0.0414,1,0,-0.936244,
0.0415,1,0,-0.93609,
0.0416,1,0,-0.935936,
0.0417,1,0,-0.935782,
0.0418,1,0,-0.935628,
0.0419,1,0,-0.935474,
0.042,1,0,-0.93532,
0.0421,1,0,-0.935166,
0.0422,1,0,-0.935012,
0.0423,1,0,-0.934858,
0.0424,1,0,-0.934704,
0.0425,1,0,-0.93455,
0.0426,1,0,-0.934396,
0.0427,1,0,-0.934242,
0.0428,1,0,-0.934088,
0.0429,1,0,-0.933934,
0.043,1,0,-0.93378,
0.0431,1,0,-0.933626,
0.0432,1,0,-0.933472,
0.0433,1,0,-0.933318,
0.0434,1,0,-0.933164,
0.0435,1,0,-0.93301,
0.0436,1,0,-0.932856,
0.0437,1,0,-0.932702,
0.0438,1,0,-0.932548,
0.0439,1,0,-0.932394,
0.044,1,0,-0.93224,
0.0441,1,0,-0.932086,
0.0442,1,0,-0.931932,
0.0443,1,0,-0.931778,
0.0444,1,0,-0.931624,
0.0445,1,0,-0.93147,
0.0446,1,0,-0.931316,
0.0447,1,0,-0.931162,
0.0448,1,0,-0.931008,
0.0449,1,0,-0.930854,
0.045,1,0,-0.9307,
0.0451,1,0,-0.930546,
0.0452,1,0,-0.930392,
0.0453,1,0,-0.930238,
0.0454,1,0,-0.930084,
0.0455,1,0,-0.92993,
0.0456,1,0,-0.929776,
0.0457,1,0,-0.929622,
0.0458,1,0,-0.929468,
0.0459,1,0,-0.929314,
0.046,1,0,-0.92916,
0.0461,1,0,-0.929006,
0.0462,1,0,-0.928852,
0.0463,1,0,-0.928698,
0.0464,1,0,-0.928544,
0.0465,1,0,-0.92839,
0.0466,1,0,-0.928236,
0.0467,1,0,-0.928082,
0.0468,1,0,-0.927928,
0.0469,1,0,-0.927774,
0.047,1,0,-0.92762,
0.0471,1,0,-0.927466,
0.0472,1,0,-0.927312,
0.0473,1,0,-0.927158,
0.0474,1,0,-0.927004,
0.0475,1,0,-0.92685,
0.0476,1,0,-0.926696,
0.0477,1,0,-0.926542,
0.0478,1,0,-0.926388,
0.0479,1,0,-0.926234,
0.048,1,0,-0.92608,
0.0481,1,0,-0.925926,
0.0482,1,0,-0.925772,
0.0483,1,0,-0.925618,
0.0484,1,0,-0.925464,
0.0485,1,0,-0.92531,
0.0486,1,0,-0.925156,
0.0487,1,0,-0.925002,
0.0488,1,0,-0.924848,
0.0489,1,0,-0.924694,
0.049,1,0,-0.92454,
0.0491,1,0,-0.924386,
0.0492,1,0,-0.924232,
0.0493,1,0,-0.924078,
0.0494,1,0,-0.923924,
0.0495,1,0,-0.92377,
0.0496,1,0,-0.923616,
0.0497,1,0,-0.923462,
0.0498,1,0,-0.923308,
0.0499,1,0,-0.923154,
0.05,1,0,-0.923,
0.0501,1,0,-0.922846,
0.0502,1,0,-0.922692,
0.0503,1,0,-0.922538,
0.0504,1,0,-0.922384,
0.0505,1,0,-0.92223,
0.0506,1,0,-0.922076,
0.0507,1,0,-0.921922,
0.0508,1,0,-0.921768,
0.0509,1,0,-0.921614,
0.051,1,0,-0.92146,
0.0511,1,0,-0.921306,
0.0512,1,0,-0.921152,
0.0513,1,0,-0.920998,
0.0514,1,0,-0.920844,
0.0515,1,0,-0.92069,
