Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.99981,
0.0002,1,0,-0.99962,
0.0003,1,0,-0.99943,
0.0004,1,0,-0.99924,
0.0005,1,0,-0.99905,
0.0006,1,0,-0.99886,
0.0007,1,0,-0.99867,
0.0008,1,0,-0.99848,
0.0009,1,0,-0.99829,
0.001,1,0,-0.9981,
0.0011,1,0,-0.99791,
0.0012,1,0,-0.99772,
0.0013,1,0,-0.99753,
0.0014,1,0,-0.99734,
0.0015,1,0,-0.99715,
0.0016,1,0,-0.99696,
0.0017,1,0,-0.99677,
0.0018,1,0,-0.99658,
0.0019,1,0,-0.99639,
0.002,1,0,-0.9962,
0.0021,1,0,-0.99601,
0.0022,1,0,-0.99582,
0.0023,1,0,-0.99563,
0.0024,1,0,-0.99544,
0.0025,1,0,-0.99525,
0.0026,1,0,-0.99506,
0.0027,1,0,-0.99487,
0.0028,1,0,-0.99468,
0.0029,1,0,-0.99449,
0.003,1,0,-0.9943,
0.0031,1,0,-0.99411,
0.0032,1,0,-0.99392,
0.0033,1,0,-0.99373,
0.0034,1,0,-0.99354,
0.0035,1,0,-0.99335,
0.0036,1,0,-0.99316,
0.0037,1,0,-0.99297,
0.0038,1,0,-0.99278,
0.0039,1,0,-0.99259,
0.004,1,0,-0.9924,
0.0041,1,0,-0.99221,
0.0042,1,0,-0.99202,
0.0043,1,0,-0.99183,
0.0044,1,0,-0.99164,
0.0045,1,0,-0.99145,
0.0046,1,0,-0.99126,
0.0047,1,0,-0.99107,
0.0048,1,0,-0.99088,
0.0049,1,0,-0.99069,
0.005,1,0,-0.9905,
0.0051,1,0,-0.99031,
0.0052,1,0,-0.99012,
0.0053,1,0,-0.98993,
0.0054,1,0,-0.98974,
0.0055,1,0,-0.98955,
0.0056,1,0,-0.98936,
0.0057,1,0,-0.98917,
0.0058,1,0,-0.98898,
0.0059,1,0,-0.98879,
0.006,1,0,-0.9886,
0.0061,1,0,-0.98841,
0.0062,1,0,-0.98822,
0.0063,1,0,-0.98803,
0.0064,1,0,-0.98784,
0.0065,1,0,-0.98765,
0.0066,1,0,-0.98746,
0.0067,1,0,-0.98727,
0.0068,1,0,-0.98708,
0.0069,1,0,-0.98689,
0.007,1,0,-0.9867,
0.0071,1,0,-0.98651,
0.0072,1,0,-0.98632,
0.0073,1,0,-0.98613,
0.0074,1,0,-0.98594,
0.0075,1,0,-0.98575,
0.0076,1,0,-0.98556,
0.0077,1,0,-0.98537,
0.0078,1,0,-0.98518,
0.0079,1,0,-0.98499,
0.008,1,0,-0.9848,
0.0081,1,0,-0.98461,
0.0082,1,0,-0.98442,
0.0083,1,0,-0.98423,
0.0084,1,0,-0.98404,
0.0085,1,0,-0.98385,
0.0086,1,0,-0.98366,
0.0087,1,0,-0.98347,
0.0088,1,0,-0.98328,
0.0089,1,0,-0.98309,
0.009,1,0,-0.9829,
0.0091,1,0,-0.98271,
0.0092,1,0,-0.98252,
0.0093,1,0,-0.98233,
0.0094,1,0,-0.98214,
0.0095,1,0,-0.98195,
0.0096,1,0,-0.98176,
0.0097,1,0,-0.98157,
0.0098,1,0,-0.98138,
0.0099,1,0,-0.98119,
0.01,1,0,-0.981,
0.0101,1,0,-0.98081,
0.0102,1,0,-0.98062,
0.0103,1,0,-0.98043,
0.0104,1,0,-0.98024,
0.0105,1,0,-0.98005,
0.0106,1,0,-0.97986,
0.0107,1,0,-0.97967,
0.0108,1,0,-0.97948,
0.0109,1,0,-0.97929,
0.011,1,0,-0.9791,
0.0111,1,0,-0.97891,
0.0112,1,0,-0.97872,
0.0113,1,0,-0.97853,
0.0114,1,0,-0.97834,
0.0115,1,0,-0.97815,
0.0116,1,0,-0.97796,
0.0117,1,0,-0.97777,
0.0118,1,0,-0.97758,
0.0119,1,0,-0.97739,
0.012,1,0,-0.9772,
0.0121,1,0,-0.97701,
0.0122,1,0,-0.97682,
0.0123,1,0,-0.97663,
0.0124,1,0,-0.97644,
