Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0.0199,1,0,-0.971145,
0.02,1,0,-0.971,
0.0201,1,0,-0.970855,
0.0202,1,0,-0.97071,
0.0203,1,0,-0.970565,
0.0204,1,0,-0.97042,
0.0205,1,0,-0.970275,
0.0206,1,0,-0.97013,
0.0207,1,0,-0.969985,
0.0208,1,0,-0.96984,
0.0209,1,0,-0.969695,
0.021,1,0,-0.96955,
0.0211,1,0,-0.969405,
0.0212,1,0,-0.96926,
0.0213,1,0,-0.969115,
0.0214,1,0,-0.96897,
0.0215,1,0,-0.968825,
0.0216,1,0,-0.96868,
0.0217,1,0,-0.968535,
0.0218,1,0,-0.96839,
0.0219,1,0,-0.968245,
0.022,1,0,-0.9681,
0.0221,1,0,-0.967955,
0.0222,1,0,-0.96781,
0.0223,1,0,-0.967665,
0.0224,1,0,-0.96752,
0.0225,1,0,-0.967375,
0.0226,1,0,-0.96723,
0.0227,1,0,-0.967085,
0.0228,1,0,-0.96694,
0.0229,1,0,-0.966795,
0.023,1,0,-0.96665,
0.0231,1,0,-0.966505,
0.0232,1,0,-0.96636,
0.0233,1,0,-0.966215,
0.0234,1,0,-0.96607,
0.0235,1,0,-0.965925,
0.0236,1,0,-0.96578,
0.0237,1,0,-0.965635,
0.0238,1,0,-0.96549,
0.0239,1,0,-0.965345,
0.024,1,0,-0.9652,
0.0241,1,0,-0.965055,
0.0242,1,0,-0.96491,
0.0243,1,0,-0.964765,
0.0244,1,0,-0.96462,
0.0245,1,0,-0.964475,
0.0246,1,0,-0.96433,
0.0247,1,0,-0.964185,
0.0248,1,0,-0.96404,
0.0249,1,0,-0.963895,
0.025,1,0,-0.96375,
0.0251,1,0,-0.963605,
0.0252,1,0,-0.96346,
0.0253,1,0,-0.963315,
0.0254,1,0,-0.96317,
0.0255,1,0,-0.963025,
0.0256,1,0,-0.96288,
0.0257,1,0,-0.962735,
0.0258,1,0,-0.96259,
0.0259,1,0,-0.962445,
0.026,1,0,-0.9623,
0.0261,1,0,-0.962155,
0.0262,1,0,-0.96201,
0.0263,1,0,-0.961865,
0.0264,1,0,-0.96172,
0.0265,1,0,-0.961575,
0.0266,1,0,-0.96143,
0.0267,1,0,-0.961285,
0.0268,1,0,-0.96114,
0.0269,1,0,-0.960995,
0.027,1,0,-0.96085,
0.0271,1,0,-0.960705,
0.0272,1,0,-0.96056,
0.0273,1,0,-0.960415,
0.0274,1,0,-0.96027,
0.0275,1,0,-0.960125,
0.0276,1,0,-0.95998,
0.0277,1,0,-0.959835,
0.0278,1,0,-0.95969,
0.0279,1,0,-0.959545,
0.028,1,0,-0.9594,
0.0281,1,0,-0.959255,
0.0282,1,0,-0.95911,
0.0283,1,0,-0.958965,
0.0284,1,0,-0.95882,
0.0285,1,0,-0.958675,
0.0286,1,0,-0.95853,
0.0287,1,0,-0.958385,
0.0288,1,0,-0.95824,
0.0289,1,0,-0.958095,
0.029,1,0,-0.95795,
0.0291,1,0,-0.957805,
0.0292,1,0,-0.95766,
0.0293,1,0,-0.957515,
0.0294,1,0,-0.95737,
0.0295,1,0,-0.957225,
0.0296,1,0,-0.95708,
0.0297,1,0,-0.956935,
0.0298,1,0,-0.95679,
0.0299,1,0,-0.956645,
0.03,1,0,-0.9565,
0.0301,1,0,-0.956355,
0.0302,1,0,-0.95621,
0.0303,1,0,-0.956065,
0.0304,1,0,-0.95592,
0.0305,1,0,-0.955775,
0.0306,1,0,-0.95563,
0.0307,1,0,-0.955485,
0.0308,1,0,-0.95534,
0.0309,1,0,-0.955195,
0.031,1,0,-0.95505,
0.0311,1,0,-0.954905,
0.0312,1,0,-0.95476,
0.0313,1,0,-0.954615,
0.0314,1,0,-0.95447,
0.0315,1,0,-0.954325,
0.0316,1,0,-0.95418,
0.0317,1,0,-0.954035,
0.0318,1,0,-0.95389,
0.0319,1,0,-0.953745,
0.032,1,0,-0.9536,
0.0321,1,0,-0.953455,
0.0322,1,0,-0.95331,
0.0323,1,0,-0.953165,
