Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999864,
0.0002,1,0,-0.999728,
0.0003,1,0,-0.999592,
0.0004,1,0,-0.999456,
0.0005,1,0,-0.99932,
0.0006,1,0,-0.999184,
0.0007,1,0,-0.999048,
0.0008,1,0,-0.998912,
0.0009,1,0,-0.998776,
0.001,1,0,-0.99864,
0.0011,1,0,-0.998504,
0.0012,1,0,-0.998368,
0.0013,1,0,-0.998232,
0.0014,1,0,-0.998096,
0.0015,1,0,-0.99796,
0.0016,1,0,-0.997824,
0.0017,1,0,-0.997688,
0.0018,1,0,-0.997552,
0.0019,1,0,-0.997416,
0.002,1,0,-0.99728,
0.0021,1,0,-0.997144,
0.0022,1,0,-0.997008,
0.0023,1,0,-0.996872,
0.0024,1,0,-0.996736,
0.0025,1,0,-0.9966,
0.0026,1,0,-0.996464,
0.0027,1,0,-0.996328,
0.0028,1,0,-0.996192,
0.0029,1,0,-0.996056,
0.003,1,0,-0.99592,
0.0031,1,0,-0.995784,
0.0032,1,0,-0.995648,
0.0033,1,0,-0.995512,
0.0034,1,0,-0.995376,
0.0035,1,0,-0.99524,
0.0036,1,0,-0.995104,
0.0037,1,0,-0.994968,
0.0038,1,0,-0.994832,
0.0039,1,0,-0.994696,
0.004,1,0,-0.99456,
0.0041,1,0,-0.994424,
0.0042,1,0,-0.994288,
0.0043,1,0,-0.994152,
0.0044,1,0,-0.994016,
0.0045,1,0,-0.99388,
0.0046,1,0,-0.993744,
0.0047,1,0,-0.993608,
0.0048,1,0,-0.993472,
0.0049,1,0,-0.993336,
0.005,1,0,-0.9932,
0.0051,1,0,-0.993064,
0.0052,1,0,-0.992928,
0.0053,1,0,-0.992792,
0.0054,1,0,-0.992656,
0.0055,1,0,-0.99252,
0.0056,1,0,-0.992384,
0.0057,1,0,-0.992248,
0.0058,1,0,-0.992112,
0.0059,1,0,-0.991976,
0.006,1,0,-0.99184,
0.0061,1,0,-0.991704,
0.0062,1,0,-0.991568,
0.0063,1,0,-0.991432,
0.0064,1,0,-0.991296,
0.0065,1,0,-0.99116,
0.0066,1,0,-0.991024,
0.0067,1,0,-0.990888,
0.0068,1,0,-0.990752,
0.0069,1,0,-0.990616,
0.007,1,0,-0.99048,
0.0071,1,0,-0.990344,
0.0072,1,0,-0.990208,
0.0073,1,0,-0.990072,
0.0074,1,0,-0.989936,
0.0075,1,0,-0.9898,
0.0076,1,0,-0.989664,
0.0077,1,0,-0.989528,
0.0078,1,0,-0.989392,
0.0079,1,0,-0.989256,
0.008,1,0,-0.98912,
0.0081,1,0,-0.988984,
0.0082,1,0,-0.988848,
0.0083,1,0,-0.988712,
0.0084,1,0,-0.988576,
0.0085,1,0,-0.98844,
0.0086,1,0,-0.988304,
0.0087,1,0,-0.988168,
0.0088,1,0,-0.988032,
0.0089,1,0,-0.987896,
0.009,1,0,-0.98776,
0.0091,1,0,-0.987624,
0.0092,1,0,-0.987488,
0.0093,1,0,-0.987352,
0.0094,1,0,-0.987216,
0.0095,1,0,-0.98708,
0.0096,1,0,-0.986944,
0.0097,1,0,-0.986808,
0.0098,1,0,-0.986672,
0.0099,1,0,-0.986536,
0.01,1,0,-0.9864,
0.0101,1,0,-0.986264,
0.0102,1,0,-0.986128,
0.0103,1,0,-0.985992,
0.0104,1,0,-0.985856,
0.0105,1,0,-0.98572,
0.0106,1,0,-0.985584,
0.0107,1,0,-0.985448,
0.0108,1,0,-0.985312,
0.0109,1,0,-0.985176,
0.011,1,0,-0.98504,
0.0111,1,0,-0.984904,
0.0112,1,0,-0.984768,
0.0113,1,0,-0.984632,
0.0114,1,0,-0.984496,
0.0115,1,0,-0.98436,
0.0116,1,0,-0.984224,
0.0117,1,0,-0.984088,
0.0118,1,0,-0.983952,
0.0119,1,0,-0.983816,
0.012,1,0,-0.98368,
0.0121,1,0,-0.983544,
0.0122,1,0,-0.983408,
0.0123,1,0,-0.983272,
0.0124,1,0,-0.983136,
0.0125,1,0,-0.983,
0.0126,1,0,-0.982864,
0.0127,1,0,-0.982728,
0.0128,1,0,-0.982592,
0.0129,1,0,-0.982456,
0.013,1,0,-0.98232,
0.0131,1,0,-0.982184,
