Thermodynamic Limit Magnetization p=5
s, mx,mz,f
0,1,0,-1,
0.0001,1,0,-0.999828,
0.0002,1,0,-0.999656,
0.0003,1,0,-0.999484,
0.0004,1,0,-0.999312,
0.0005,1,0,-0.99914,
0.0006,1,0,-0.998968,
0.0007,1,0,-0.998796,
0.0008,1,0,-0.998624,
0.0009,1,0,-0.998452,
0.001,1,0,-0.99828,
0.0011,1,0,-0.998108,
0.0012,1,0,-0.997936,
0.0013,1,0,-0.997764,
0.0014,1,0,-0.997592,
0.0015,1,0,-0.99742,
0.0016,1,0,-0.997248,
0.0017,1,0,-0.997076,
0.0018,1,0,-0.996904,
0.0019,1,0,-0.996732,
0.002,1,0,-0.99656,
0.0021,1,0,-0.996388,
0.0022,1,0,-0.996216,
0.0023,1,0,-0.996044,
0.0024,1,0,-0.995872,
0.0025,1,0,-0.9957,
0.0026,1,0,-0.995528,
0.0027,1,0,-0.995356,
0.0028,1,0,-0.995184,
0.0029,1,0,-0.995012,
0.003,1,0,-0.99484,
0.0031,1,0,-0.994668,
0.0032,1,0,-0.994496,
0.0033,1,0,-0.994324,
0.0034,1,0,-0.994152,
0.0035,1,0,-0.99398,
0.0036,1,0,-0.993808,
0.0037,1,0,-0.993636,
0.0038,1,0,-0.993464,
0.0039,1,0,-0.993292,
0.004,1,0,-0.99312,
0.0041,1,0,-0.992948,
0.0042,1,0,-0.992776,
0.0043,1,0,-0.992604,
0.0044,1,0,-0.992432,
0.0045,1,0,-0.99226,
0.0046,1,0,-0.992088,
0.0047,1,0,-0.991916,
0.0048,1,0,-0.991744,
0.0049,1,0,-0.991572,
0.005,1,0,-0.9914,
0.0051,1,0,-0.991228,
0.0052,1,0,-0.991056,
0.0053,1,0,-0.990884,
0.0054,1,0,-0.990712,
0.0055,1,0,-0.99054,
0.0056,1,0,-0.990368,
0.0057,1,0,-0.990196,
0.0058,1,0,-0.990024,
0.0059,1,0,-0.989852,
0.006,1,0,-0.98968,
0.0061,1,0,-0.989508,
0.0062,1,0,-0.989336,
0.0063,1,0,-0.989164,
0.0064,1,0,-0.988992,
0.0065,1,0,-0.98882,
0.0066,1,0,-0.988648,
0.0067,1,0,-0.988476,
0.0068,1,0,-0.988304,
0.0069,1,0,-0.988132,
0.007,1,0,-0.98796,
0.0071,1,0,-0.987788,
0.0072,1,0,-0.987616,
0.0073,1,0,-0.987444,
0.0074,1,0,-0.987272,
0.0075,1,0,-0.9871,
0.0076,1,0,-0.986928,
0.0077,1,0,-0.986756,
0.0078,1,0,-0.986584,
0.0079,1,0,-0.986412,
0.008,1,0,-0.98624,
0.0081,1,0,-0.986068,
0.0082,1,0,-0.985896,
0.0083,1,0,-0.985724,
0.0084,1,0,-0.985552,
0.0085,1,0,-0.98538,
0.0086,1,0,-0.985208,
0.0087,1,0,-0.985036,
0.0088,1,0,-0.984864,
0.0089,1,0,-0.984692,
0.009,1,0,-0.98452,
0.0091,1,0,-0.984348,
0.0092,1,0,-0.984176,
0.0093,1,0,-0.984004,
0.0094,1,0,-0.983832,
0.0095,1,0,-0.98366,
0.0096,1,0,-0.983488,
0.0097,1,0,-0.983316,
0.0098,1,0,-0.983144,
0.0099,1,0,-0.982972,
0.01,1,0,-0.9828,
0.0101,1,0,-0.982628,
0.0102,1,0,-0.982456,
0.0103,1,0,-0.982284,
0.0104,1,0,-0.982112,
0.0105,1,0,-0.98194,
0.0106,1,0,-0.981768,
0.0107,1,0,-0.981596,
0.0108,1,0,-0.981424,
0.0109,1,0,-0.981252,
0.011,1,0,-0.98108,
0.0111,1,0,-0.980908,
0.0112,1,0,-0.980736,
0.0113,1,0,-0.980564,
0.0114,1,0,-0.980392,
0.0115,1,0,-0.98022,
0.0116,1,0,-0.980048,
0.0117,1,0,-0.979876,
0.0118,1,0,-0.979704,
0.0119,1,0,-0.979532,
0.012,1,0,-0.97936,
0.0121,1,0,-0.979188,
0.0122,1,0,-0.979016,
0.0123,1,0,-0.978844,
0.0124,1,0,-0.978672,
0.0125,1,0,-0.9785,
0.0126,1,0,-0.978328,
0.0127,1,0,-0.978156,
0.0128,1,0,-0.977984,
0.0129,1,0,-0.977812,
0.013,1,0,-0.97764,
0.0131,1,0,-0.977468,
0.0132,1,0,-0.977296,
0.0133,1,0,-0.977124,
0.0134,1,0,-0.976952,
0.0135,1,0,-0.97678,
0.0136,1,0,-0.976608,
0.0137,1,0,-0.976436,
0.0138,1,0,-0.976264,
0.0139,1,0,-0.976092,
0.014,1,0,-0.97592,
0.0141,1,0,-0.975748,
0.0142,1,0,-0.975576,
0.0143,1,0,-0.975404,
0.0144,1,0,-0.975232,
0.0145,1,0,-0.97506,
0.0146,1,0,-0.974888,
0.0147,1,0,-0.974716,
0.0148,1,0,-0.974544,
0.0149,1,0,-0.974372,
0.015,1,0,-0.9742,
0.0151,1,0,-0.974028,
0.0152,1,0,-0.973856,
0.0153,1,0,-0.973684,
0.0154,1,0,-0.973512,
0.0155,1,0,-0.97334,
0.0156,1,0,-0.973168,
0.0157,1,0,-0.972996,
0.0158,1,0,-0.972824,
0.0159,1,0,-0.972652,
0.016,1,0,-0.97248,
0.0161,1,0,-0.972308,
0.0162,1,0,-0.972136,
0.0163,1,0,-0.971964,
0.0164,1,0,-0.971792,
0.0165,1,0,-0.97162,
0.0166,1,0,-0.971448,
0.0167,1,0,-0.971276,
0.0168,1,0,-0.971104,
0.0169,1,0,-0.970932,
0.017,1,0,-0.97076,
0.0171,1,0,-0.970588,
0.0172,1,0,-0.970416,
0.0173,1,0,-0.970244,
0.0174,1,0,-0.970072,
0.0175,1,0,-0.9699,
0.0176,1,0,-0.969728,
0.0177,1,0,-0.969556,
0.0178,1,0,-0.969384,
0.0179,1,0,-0.969212,
0.018,1,0,-0.96904,
0.0181,1,0,-0.968868,
0.0182,1,0,-0.968696,
0.0183,1,0,-0.968524,
0.0184,1,0,-0.968352,
0.0185,1,0,-0.96818,
0.0186,1,0,-0.968008,
0.0187,1,0,-0.967836,
0.0188,1,0,-0.967664,
0.0189,1,0,-0.967492,
0.019,1,0,-0.96732,
0.0191,1,0,-0.967148,
0.0192,1,0,-0.966976,
0.0193,1,0,-0.966804,
0.0194,1,0,-0.966632,
0.0195,1,0,-0.96646,
